web_scraper_order,web_scraper_start_url,type_chaussure,prix,adresse,image_lien
"1771453303-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5333899_uploaded_image1_1747569426.jpg"
"1771453303-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5288623_uploaded_image1_1745018712.jpg"
"1771453303-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Nike","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5332891_uploaded_image1_1747492369.jpg"
"1771453303-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales","7 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5332884_uploaded_image1_1747492109.jpg"
"1771453303-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales","8 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5332880_uploaded_image1_1747491983.jpg"
"1771453303-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5332114_uploaded_image1_1747436179.jpg"
"1771453303-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales Hermès","25 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5329885_uploaded_image2_1747329825.jpeg"
"1771453303-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","18 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5283172_uploaded_image1_1744733542.jpg"
"1771453303-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","25 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5283140_uploaded_image1_1744733006.jpg"
"1771453303-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5283144_uploaded_image1_1744733046.jpg"
"1771453303-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Sandales orthopédique","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5327825_uploaded_image1_1747239241.jpg"
"1771453303-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5327297_uploaded_image1_1747222943.jpg"
"1771453303-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","13 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5325840_uploaded_image1_1747144273.jpg"
"1771453303-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Baskets homme","12 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5325834_uploaded_image1_1747144150.jpg"
"1771453303-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures Adidas Crazy fast","25 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5325818_uploaded_image1_1747143461.jpg"
"1771453303-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Claquettes homme","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5325411_uploaded_image1_1747130286.jpg"
"1771453303-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=10","Chaussures homme","8 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_5325029_uploaded_image1_1747102173.jpg"
