web_scraper_order,web_scraper_start_url,prix,type_habit,adress,image
"1771451168-1","https://sn.coinafrique.com/categorie/vetements-homme?page=48","7 000CFA","Pantalon Kaki homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_3818686_uploaded_image1_1659826310.jpg"
"1771451168-2","https://sn.coinafrique.com/categorie/vetements-homme?page=48","14 000CFA","Ensemble homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_3818670_uploaded_image1_1659825633.jpg"
"1771451168-3","https://sn.coinafrique.com/categorie/vetements-homme?page=48","6 500CFA","Polo Lacoste","Dakar, Sénégal","https://images.coinafrique.com/thumb_3818676_uploaded_image1_1659825964.jpg"
"1771451168-4","https://sn.coinafrique.com/categorie/vetements-homme?page=48","13 000CFA","Ensemble homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_3818669_uploaded_image1_1659825577.jpg"
"1771451168-5","https://sn.coinafrique.com/categorie/vetements-homme?page=48","6 500CFA","Chemise homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_3816151_uploaded_image1_1659690404.jpg"
"1771451168-6","https://sn.coinafrique.com/categorie/vetements-homme?page=48","13 000CFA","Ensemble homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_3816140_uploaded_image1_1659690022.jpg"
"1771451168-7","https://sn.coinafrique.com/categorie/vetements-homme?page=48","7 000CFA","Pantalon Kaki","Dakar, Sénégal","https://images.coinafrique.com/thumb_3816145_uploaded_image1_1659690218.jpg"
"1771451168-8","https://sn.coinafrique.com/categorie/vetements-homme?page=48","7 000CFA","Lacoste homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_3816134_uploaded_image1_1659689826.jpg"
"1771451168-9","https://sn.coinafrique.com/categorie/vetements-homme?page=48","Prix sur demande","Ensemble Lacoste homme","Dakar, Sénégal","https://images.coinafrique.com/thumb_3816138_uploaded_image1_1659689956.jpg"
"1771451168-10","https://sn.coinafrique.com/categorie/vetements-homme?page=48","5 000CFA","Bazin riche Super Manium gold","Dakar, Sénégal","https://images.coinafrique.com/thumb_3816104_uploaded_image1_1659688880.jpg"
"1771451168-11","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","Tenues homme","Mbour, Sénégal","https://images.coinafrique.com/thumb_3860675_uploaded_image1_1662201619.jpg"
"1771451168-12","https://sn.coinafrique.com/categorie/vetements-homme?page=48","7 500CFA","Polos  Lacoste homme","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_3860138_uploaded_image3_1662161420.jpeg"
"1771451168-13","https://sn.coinafrique.com/categorie/vetements-homme?page=48","7 000CFA","Vêtements homme","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3860072_uploaded_image2_1662157006.jpeg"
"1771451168-14","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","Chemise Floyd","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844591_uploaded_image1_1661345628.jpg"
"1771451168-15","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","T-shirt homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844596_uploaded_image1_1661345726.jpg"
"1771451168-16","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","Polo Lacoste","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844582_uploaded_image1_1661345495.jpg"
"1771451168-17","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","Polo Floyd","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844577_uploaded_image1_1661345293.jpg"
"1771451168-18","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","T-shirt homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844553_uploaded_image1_1661344657.jpg"
"1771451168-19","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","T-shirt homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844558_uploaded_image1_1661344765.jpg"
"1771451168-20","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","T-shirt homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844568_uploaded_image1_1661345084.jpg"
"1771451168-21","https://sn.coinafrique.com/categorie/vetements-homme?page=48","10 000CFA","T-shirt homme","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3844571_uploaded_image1_1661345169.jpg"
