web_scraper_order,web_scraper_start_url,type_habit,prix,adresse,image_lien
"1771502643-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Set de baptême","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3038303_uploaded_image1_1617474759.jpg"
"1771502643-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfants","15 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3038014_uploaded_image1_1617463542.jpg"
"1771502643-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Vêtements enfants","15 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3038010_uploaded_image1_1617463363.jpg"
"1771502643-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","15 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3037998_uploaded_image1_1617463131.jpg"
"1771502643-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Grenouillère","1 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3037698_uploaded_image1_1617454183.jpg"
"1771502643-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Body enfant","500CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3037697_uploaded_image1_1617454125.jpg"
"1771502643-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensembles enfant + chapeau","1 500CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3037692_uploaded_image1_1617454021.jpg"
"1771502643-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","2 500CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3037689_uploaded_image1_1617453933.jpg"
"1771502643-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble bébé","9 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3035855_uploaded_image1_1617379859.jpg"
"1771502643-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble blouson enfant","8 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3035799_uploaded_image2_1617378839.jpeg"
"1771502643-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Barboteuse","1 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3033102_uploaded_image1_1617286526.jpg"
"1771502643-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Ensemble enfant","2 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3033057_uploaded_image1_1617285824.jpg"
"1771502643-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=10","Robe fille","11 500CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3032229_uploaded_image1_1617269385.jpg"
