type_chaussure,prix,adresse,image_lien
Chaussures homme,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5333899_uploaded_image1_1747569426.jpg
Chaussures homme,12000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5288623_uploaded_image1_1745018712.jpg
Chaussures Nike,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5332891_uploaded_image1_1747492369.jpg
Sandales,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5332884_uploaded_image1_1747492109.jpg
Sandales,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5332880_uploaded_image1_1747491983.jpg
Chaussures homme,15000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332114_uploaded_image1_1747436179.jpg
Sandales Hermès,25000,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5329885_uploaded_image2_1747329825.jpeg
Chaussures homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5283172_uploaded_image1_1744733542.jpg
Chaussures homme,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5283140_uploaded_image1_1744733006.jpg
Chaussures homme,12000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5283144_uploaded_image1_1744733046.jpg
Sandales orthopédique,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5327825_uploaded_image1_1747239241.jpg
Chaussures homme,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5327297_uploaded_image1_1747222943.jpg
Baskets homme,13000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5325840_uploaded_image1_1747144273.jpg
Baskets homme,12000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5325834_uploaded_image1_1747144150.jpg
Chaussures Adidas Crazy fast,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5325818_uploaded_image1_1747143461.jpg
Claquettes homme,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5325411_uploaded_image1_1747130286.jpg
Chaussures homme,8000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5325029_uploaded_image1_1747102173.jpg
Chaussures homme,25000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5325002_uploaded_image1_1747098450.jpg
