type_chaussure,prix,adresse,image_lien
Chaussures pour enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905432_uploaded_image1_1567528544.51.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905430_uploaded_image1_1567528509.05.png
Chaussures pour enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905429_uploaded_image1_1567528425.06.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905424_uploaded_image1_1567528377.1.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905422_uploaded_image1_1567528291.23.png
Chaussures   enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905416_uploaded_image1_1567528250.24.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905412_uploaded_image1_1567528198.79.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905410_uploaded_image1_1567528155.93.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905406_uploaded_image1_1567528116.55.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905401_uploaded_image1_1567528046.76.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905399_uploaded_image1_1567528008.97.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905397_uploaded_image1_1567527975.86.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905394_uploaded_image1_1567527922.13.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905388_uploaded_image1_1567527880.73.png
chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905385_uploaded_image1_1567527792.61.png
Chaussures  enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905383_uploaded_image1_1567527755.2.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905378_uploaded_image1_1567527715.54.png
Chaussures pour enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905376_uploaded_image1_1567527683.78.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905373_uploaded_image1_1567527650.34.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905369_uploaded_image1_1567527617.39.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905367_uploaded_image1_1567527588.75.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905365_uploaded_image1_1567527559.02.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905363_uploaded_image1_1567527530.77.png
Chaussures enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905360_uploaded_image1_1567527475.22.png
Chaussures pour enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_905353_uploaded_image1_1567527349.0.png
Baskets,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_902727_uploaded_image1_1567471565.75.png
Chaussures Enfants,12000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_902724_uploaded_image1_1567471369.88.png
Chaussures enfants,10000,Sénégal,https://images.coinafrique.com/thumb_894314_uploaded_image1_1567188587.1.png
Claquettes enfant,8000,Sénégal,https://images.coinafrique.com/thumb_894267_uploaded_image1_1567187400.66.png
Chaussures Baskets,15000,Sénégal,https://images.coinafrique.com/thumb_894226_uploaded_image1_1567186853.35.png
