type_habit,prix,adresse,image_lien
Set de baptême,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3038303_uploaded_image1_1617474759.jpg
Ensemble enfants,15000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3038014_uploaded_image1_1617463542.jpg
Vêtements enfants,15000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3038010_uploaded_image1_1617463363.jpg
Ensemble enfant,15000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3037998_uploaded_image1_1617463131.jpg
Grenouillère,1000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3037698_uploaded_image1_1617454183.jpg
Body enfant,500,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3037697_uploaded_image1_1617454125.jpg
Ensembles enfant + chapeau,1500,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3037692_uploaded_image1_1617454021.jpg
Ensemble enfant,2500,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3037689_uploaded_image1_1617453933.jpg
Ensemble bébé,9000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3035855_uploaded_image1_1617379859.jpg
Ensemble blouson enfant,8000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3035799_uploaded_image2_1617378839.jpeg
Barboteuse,1000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3033102_uploaded_image1_1617286526.jpg
Ensemble enfant,2000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3033057_uploaded_image1_1617285824.jpg
Robe fille,11500,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3032229_uploaded_image1_1617269385.jpg
Ensemble bébé,6000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3032224_uploaded_image1_1617269304.jpg
Ensemble pour bébé,9500,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3024581_uploaded_image1_1616870758.jpg
Vêtements pour enfant de 0 à 13ans,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3019124_uploaded_image1_1616606467.jpg
Ensemble chemise - pantalon enfant,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3017358_uploaded_image1_1616523355.jpg
Pantalon jeans enfants,2000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3017355_uploaded_image1_1616523288.jpg
Vêtements enfant,3000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3013660_uploaded_image1_1616353788.jpg
Vêtements bébé,3500,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3013647_uploaded_image1_1616353124.jpg
Pantalon jeans friperie enfants,6000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012395_uploaded_image1_1616265641.jpg
Ensemble chemise - pantalon jeans friperie,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012391_uploaded_image1_1616265553.jpg
Pantalon jeans friperie,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012387_uploaded_image1_1616265415.jpg
Grenouillère bébé,0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3008320_uploaded_image1_1616068246.jpg
Lot de vêtements friperie de 0 à 12ans,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3000888_uploaded_image1_1615698089.jpg
Ensemble maillots enfants,8000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2997124_uploaded_image1_1615491439.jpg
Robes filles,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_2991324_uploaded_image1_1615228431.jpg
Vêtements  bébé,5000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2983859_uploaded_image1_1614848831.jpg
Vêtements enfants,0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2981375_uploaded_image1_1614732549.jpg
Vêtements enfants,0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2979283_uploaded_image1_1614675070.jpg
Vêtements bébé,7000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2971081_uploaded_image1_1614264447.jpg
Caleçon enfant,1500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_2970911_uploaded_image1_1614259523.jpg
